Game Number,Time-Step,Event
1,288.0,INTRUDER_VICTORY
2,589.0,INTRUDER_VICTORY
3,332.0,INTRUDER_VICTORY
4,314.0,INTRUDER_VICTORY
5,290.0,INTRUDER_VICTORY
6,310.0,INTRUDER_VICTORY
7,1681.0,INTRUDER_VICTORY
8,325.0,INTRUDER_VICTORY
9,318.0,INTRUDER_VICTORY
10,585.0,INTRUDER_VICTORY
11,605.0,INTRUDER_VICTORY
12,320.0,INTRUDER_VICTORY
13,303.0,INTRUDER_VICTORY
14,319.0,INTRUDER_VICTORY
15,338.0,INTRUDER_VICTORY
16,329.0,INTRUDER_VICTORY
17,318.0,INTRUDER_VICTORY
18,306.0,INTRUDER_VICTORY
19,316.0,INTRUDER_VICTORY
20,316.0,INTRUDER_VICTORY
21,586.0,INTRUDER_VICTORY
22,348.0,INTRUDER_VICTORY
23,1255.0,INTRUDER_VICTORY
24,304.0,INTRUDER_VICTORY
25,577.0,INTRUDER_VICTORY
26,582.0,INTRUDER_VICTORY
27,328.0,INTRUDER_VICTORY
28,313.0,INTRUDER_VICTORY
29,326.0,INTRUDER_VICTORY
30,300.0,INTRUDER_VICTORY
31,2379.0,GUARD_VICTORY
32,316.0,INTRUDER_VICTORY
33,572.0,INTRUDER_VICTORY
34,580.0,INTRUDER_VICTORY
35,313.0,INTRUDER_VICTORY
36,320.0,INTRUDER_VICTORY
37,568.0,INTRUDER_VICTORY
38,579.0,INTRUDER_VICTORY
39,592.0,INTRUDER_VICTORY
40,297.0,INTRUDER_VICTORY
41,331.0,INTRUDER_VICTORY
42,310.0,INTRUDER_VICTORY
43,305.0,INTRUDER_VICTORY
44,604.0,INTRUDER_VICTORY
45,310.0,INTRUDER_VICTORY
46,329.0,INTRUDER_VICTORY
47,597.0,INTRUDER_VICTORY
48,314.0,INTRUDER_VICTORY
49,304.0,INTRUDER_VICTORY
50,305.0,INTRUDER_VICTORY
51,570.0,INTRUDER_VICTORY
52,578.0,INTRUDER_VICTORY
53,311.0,INTRUDER_VICTORY
54,332.0,INTRUDER_VICTORY
55,332.0,INTRUDER_VICTORY
56,290.0,INTRUDER_VICTORY
57,306.0,INTRUDER_VICTORY
58,297.0,INTRUDER_VICTORY
59,322.0,INTRUDER_VICTORY
60,566.0,INTRUDER_VICTORY
61,2126.0,GUARD_VICTORY
62,313.0,INTRUDER_VICTORY
63,325.0,INTRUDER_VICTORY
64,1426.0,GUARD_VICTORY
65,303.0,INTRUDER_VICTORY
66,570.0,INTRUDER_VICTORY
67,326.0,INTRUDER_VICTORY
68,589.0,INTRUDER_VICTORY
69,4281.0,GUARD_VICTORY
70,329.0,INTRUDER_VICTORY
71,326.0,INTRUDER_VICTORY
72,575.0,INTRUDER_VICTORY
73,319.0,INTRUDER_VICTORY
74,589.0,INTRUDER_VICTORY
75,584.0,INTRUDER_VICTORY
76,326.0,INTRUDER_VICTORY
77,342.0,INTRUDER_VICTORY
78,2063.0,GUARD_VICTORY
79,307.0,INTRUDER_VICTORY
80,589.0,INTRUDER_VICTORY
81,1938.0,INTRUDER_VICTORY
82,306.0,INTRUDER_VICTORY
83,1397.0,GUARD_VICTORY
84,328.0,INTRUDER_VICTORY
85,322.0,INTRUDER_VICTORY
86,300.0,INTRUDER_VICTORY
87,302.0,INTRUDER_VICTORY
88,578.0,INTRUDER_VICTORY
89,297.0,INTRUDER_VICTORY
90,1847.0,GUARD_VICTORY
91,1299.0,INTRUDER_VICTORY
92,301.0,INTRUDER_VICTORY
93,329.0,INTRUDER_VICTORY
94,1303.0,INTRUDER_VICTORY
95,327.0,INTRUDER_VICTORY
96,323.0,INTRUDER_VICTORY
97,298.0,INTRUDER_VICTORY
98,1329.0,GUARD_VICTORY
99,309.0,INTRUDER_VICTORY
100,582.0,INTRUDER_VICTORY
